question,answer
When did Prasad Khandat join Sikka.ai and in what role?,Prasad joined Sikka.ai in 2014 as a Software Engineer.
Which product did Prasad Khandat lead while working at Sikka.ai?,"Prasad led Sikka.ai's flagship product ""Practice Optimizer""."
What is Prasad Khandat's experience in software engineering?,Prasad has extensive experience in software engineering and lifecycle.
Has Prasad Khandat won any awards at Sikka.ai?,"Yes,  Prasad has won Sikka.ai's internal hackathon competition for two consecutive years and has been awarded as the best performer for his excellent work at Sikka.ai multiple times."
Where did Prasad Khandat work prior to joining Sikka.ai?,"Prasad worked for four years at iBrain Decision Software,  India as Sr. Software Engineer."
What is Prasad Khandat's educational background?,"Prasad did his masters in computer science from the University of Pune,  Maharashtra, India"
What is scrutinized during the life insurance application process?,"An applicant's self-disclosed medical and smoking history is critically scrutinized during the life insurance application process for simplified, accelerated, and full underwriting."
What are some known practices and diseases that increase mortality risks?,"Hypertension, diabetes, kidney disorders, heart disorders, and tobacco use are known to increase mortality risks."
What is the purpose of ExamOne and Quest Diagnostics' commitment to delivering solutions?,"ExamOne and the entire Quest Diagnostics family are committed to working tirelessly to deliver solutions that will help them work through changes and challenges in the healthcare  life insurance, and retail markets.
"
What is Sikka.ai?,Sikka.ai is a platform that offers a way to evaluate opportunities for production growth and gauge ROI for certain investments at a quick glance using Optimizer. It also provides insights into 5 different healthcare verticals and has a growing international presence.
What is the collaboration between ExamOne and Sikka.ai?,"In April 2022, ExamOne and Sikka.ai announced a collaboration to provide oral healthcare information through HealthPiQture.
"
What is the Sikka.ai Health Indicators whitepaper about?,The Sikka.ai Health Indicators whitepaper is about the use of Sikka.ai Health Indicators to identify health risks among insurance applicants.
What is the classic Dr. Copper comparison?,The classic Dr. Copper comparison compares copper prices to the inflation rate over the same time period.
What are the advantages of Sikka.ai ONE API over its competitors?,"Sikka.ai ONE API offers several key advantages over its competitors, including robust data analytics, customizable dashboards, and integrated payment processing, making it a more comprehensive and effective solution for healthcare providers."
Who does ExamOne work with to capture a more comprehensive review of applicants' prescription drug history?,ExamOne works with some of the largest pharmacy benefits management (PBM) companies in the country and has developed exclusive relationships with them to capture a more comprehensive review of applicants' prescription drug history.
What do the API Awards celebrate?,"The API Awards celebrate innovation, adoption and reception in the API & microservices industry and by the developer community.
"
What can you use Sikka.ai's Fee Survey for?,"Sikka.ai's Fee Survey lets you choose up to three zip codes for which you will receive 50th, 60th, 70th, 80th, 90th and maximum percentile fees across 900 different procedure codes."
What has validated Sikka.ai's data?,"Sikka.ai's data has been validated in studies conducted by 3 major reinsurance companies, 3 leading data providers  several carriers and MGAs in both the US and Canada, and a leading life settlement company."
What is the gross protective value of Sikka.ai's Tobacco indicators?,Studies of Sikka.ai's Tobacco indicators have been completed to identify gross protective value of almost 10x the cost.
What does Munich Re recommend each carrier perform regarding the Sikka.ai Tobacco Score?,Munich Re recommends each carrier perform a retrospective study to best assess the value and application of the Sikka.ai Tobacco Score on its company-specific insured population.
What is the goal of Sikka.ai Insights?,The goal of Sikka.ai Insights is to provide consent-based insights and services to life insurance underwriters and correlate oral health with mortality through multiple indicators.
What do the API Awards celebrate?,"The API Awards celebrate innovation, adoption and reception in the API & microservices industry and by the developer community.
"
What can you do to ensure maximum payment on procedures?,"When reviewing production reports from the previous year, you can visually look for any outliers and adjust accordingly to ensure maximum payment on procedures.
"
What does Sikka.ai's Fee Survey provide?,"Sikka.ai's Fee Survey lets you choose up to three zip codes for which you will receive 50th, 60th, 70th, 80th, 90th and maximum percentile fees across 900 different procedure codes."
Has Sikka.ai's data been validated?,"Yes, Sikka.ai's data has been validated in studies conducted by 3 major reinsurance companies, 3 leading data providers, several carriers and MGAs in both the US and Canada, and a leading life settlement company.
"
What has the tobacco indicator identified?,"The tobacco indicator has identified significant numbers of smoking non-disclosers that cost carriers as much as $23,0001 per traditional term policyholder in lost premiums due to misclassification, based on the analysis of 1 of the data providers.
"
What are Sikka.ai Indicators?,Separately Sikka.ai Indicators are now in production with multiple carriers and have been helpful at identifying missing underlying conditions that influence underwriting.
What did Munich Re do to validate Sikka.ai's Tobacco Score?,"In 2019, Munich Re performed a validation of Sikka.ai's Tobacco Score using insured records.
"
What kind of predictions can be made using Sikka.ai's API solutions?,Actionable predictions of the performance of specific public companies that are suppliers to these healthcare sectors can be made using Sikka.ai's API solutions.
What does Sikka.ai's Payment Write Back API provide information on?,Sikka.ai's Payment Write Back API provides information on apportioning bulk payment requests to individual patients.
What is Sikka.aiPay?,"Sikka.aiPay makes apportioning bulk payment requests to individual patients a snap. And they can be sent via text2pay  email or mobile app.
"
What is Sikka.ai ONE API?,Sikka.ai ONE API is utilized by partners (many of them Fortune 500 companies) to build innovative apps to optimize the business of healthcare. It won the Best Health API Award for 2022 and 2019 from API World.
How does Sikka.ai provide tailored solutions for veterinary practices?,"At Sikka.ai, tailored solutions for veterinary practices are provided by utilizing their award-winning health API platform to help increase efficiency and optimize practice.
"
What kind of service is ideal for point-of-sale insurance products?,The service provided by Sikka.ai is ideal for point-of-sale insurance products where an immediate response is needed.
What can healthcare providers track and analyze using Sikka.ai's data analytics?,"Healthcare providers can track and analyze key performance metrics, such as patient volume, revenue, and patient satisfaction using Sikka.ai's data analytics.
PatientHomePage is a tool that helps strengthen doctor-patient relationships by allowing practices to take control of their campaigns, patient communications, practice calendar  and more."
What is Sikka.ai Prime?,Sikka.ai Prime provides key information in one location to help you make informed decisions when offering treatment plans and payment options to patients.
What safety procedures have ExamOne implemented during the health crisis?,ExamOne has implemented rigorous safety procedures to protect employees and customers during the health crisis.
What is Practice Query Language API?,"Practice Query Language API lets you control individual data points you want to display  allowing your app to run faster and more efficiently.
"
Which healthcare markets does Sikka.ai API work with and is compatible with?,"Sikka.ai API works with and is compatible with approximately 90% of the markets for dental, veterinary, optometry, chiropractic, orthodontics, oral surgery and others in the U.S., Canada, Australia and New Zealand."
How many examiners does ExamOne plan to add to its network by the end of the year?,200 examiners to its network by the end of the year.
What is Life Insurance Awareness Month?,Life Insurance Awareness Month is recognized in September every year to promote the importance of life insurance.
What is the Fee Survey?,"The Fee Survey provides fee recommendations to practitioners who want to maximize production, retain/acquire patients, and manage overall costs.
"
What is the Morning Report?,The Morning Report provides an overview of practice operations for the day.
What is LECA RS validation?,LECA RS validation is depicted in the figure below.
What is the goal of Sikka.ai API for healthcare offices?,"The goal of Sikka.ai API is to provide a single API that enables over 50 best-in-class productivity applications for dental, veterinary, optometry, chiropractors, and other healthcare offices."
What does ExamOne do besides mortality research and industry partnerships with MIB Solutions?,"In addition to mortality research and industry partnerships with MIB Solutions, ExamOne provides more than 3,000 tests to clinical laboratory clients and examines the applicability and usefulness of these clinical tests to insurance clients. There are also ongoing efforts to identify new assays for markers critical to the risk assessment testing industry.
"
What is Sikka.ai's focus in providing solutions for dental practices?,Sikka.ai prides itself on providing tailored solutions for dental practices by utilizing their award-winning health API platform to help increase efficiency and optimize the practice.
How many total dental installations does Sikka.ai have on their platform?,"Sikka.ai has over 28,000 total dental installations on their platform.
"
How many dental patients are on the Sikka.ai platform?,There are over 136 million dental patients on the Sikka.ai platform.
What are the dental products offered by Sikka.ai?,"Sikka.ai offers several dental products including Sikka.ai Prime, Optimizer,Sikka.aiPay,Fee Survey,PatientHomePage,and Practice Mobilizer."
What is Sikka.ai Prime?,"Sikka.ai Prime is a tool that helps dental practices get the most out of their practice each day by removing ""busyness"" from their business so they can deliver outstanding patient care."
What is Optimizer by Sikka.ai?,Optimizer is a tool offered by Sikka.ai that allows dental practices to optimize their practice and maximize their profits through informative dashboards that are updated in real-time.
What is Sikka.aiPay?,"Sikka.aiPay is a payment processing tool that uses Sikka.ai's award-winning health API platform to streamline the payment process, reduce costs, and get dental practices paid faster.
"
What is Fee Survey by Sikka.ai?,"Fee Survey is a tool that provides fee recommendations for a practice's most popular procedures  helping practices avoid overcharging or undercharging and supercharge their profits.
"
What is PatientHomePage by Sikka.ai?,"PatientHomePage is a tool that helps strengthen doctor-patient relationships by allowing practices to take control of their campaigns, patient communications, practice calendar  and more."
What is Practice Mobilizer by Sikka.ai?,"Practice Mobilizer is a tool that allows dental practices to monitor their practice from their phone using Sikka.ai's API, which seamlessly integrates with the practice management system to allow for secure access to practice data from anywhere.
"
What is Sikka.ai Prime?,Sikka.ai Prime is a tool designed to help dental practices maximize efficiency and profitability.
What insights does Sikka.ai Prime offer?,"Sikka.ai Prime offers insights such as patient insurance eligibility, payment processing options, and more.
"
Who is Sikka.ai Prime currently available for?,"Sikka.ai Prime is currently available for the dental industry, for both solo practices and DSOs.
"
What information does Sikka.ai Prime provide in one location?,"Sikka.ai Prime provides key information in one location, allowing practices to make informed decisions when offering treatment plans and payment options to patients.
"
How does Sikka.ai Prime improve payment processing?,"Sikka.ai Prime's payment portal offers a variety of payment options such as PayNow, Text2Pay, and Payment Plans to find the right payment option for patients and ensure outstanding balances are paid sooner.
"
What scores has Sikka.ai created for patient management?,Sikka.ai has created two scores powered by artificial intelligence that help determine patient propensity to pay on time for treatment and which patients will stick to prescribed treatment plans.
More Information on Sikka.aiPay?, https://www.Sikka.ai/Sikka.aiPay/
What is Sikka.aiPay?,"Sikka.aiPay is a payment facilitator that integrates patient communications, revenue cycle, patient marketing, business performance management, and related software applications using the Sikka.ai API Platform."
What are the payment options available with Sikka.aiPay?,"Flexible payment options include bulk pay, text2pay, mobile app-based pay, installments, and email payments.
"
What are the features of Sikka.aiPay?,"The features of Sikka.aiPay include automatic payment posting, bulk payments and claims processing  card tokenization and secure encryption, and multiple payment options."
How can one sign up for Sikka.aiPay?,"One can contact sales to get a one-page signup form  complete it, and send it back to Sphere. After approval, they can start using Sikka.aiPay to charge and collect payments."
Question,Answer
What is the Sikka.ai API Platform?,"The Sikka.ai API Platform is an award-winning platform that integrates patient communications, revenue cycle, patient marketing, business performance management and related software applications."
What are the flexible payment options offered by Sikka.aiPay?,"Sikka.aiPay offers several flexible payment options, including secure bulk pay, text2pay, mobile app-based pay  and installments."
Is Sikka.aiPay compliant with security standards?,"Yes  Sikka.aiPay is compliant with both PCI and HIPAA security standards, ensuring transaction security for all payments.
"
How can Sikka.aiPay help health practices get paid faster?,"Sikka.aiPay provides several convenient ways for patients to pay including in-person,through a mobile app,online,and via email and text notifications,helping practices get paid faster."
How can practices get started with Sikka.aiPay?,"To get started with Sikka.aiPay, practices can contact sales to receive a one-page signup form. After completing and returning the form, they will receive a secure digital application that is pre-populated with their details. Once approved, they can start using Sikka.aiPay to charge and collect from patients."
What are some key features of Optimizer Enterprise?,"Optimizer Enterprise offers several key features, including practice, provider, enterprise, and DSO dashboards, month-to-month trends, insurance patient analysis, fee optimization  unique KPIs, advanced reports, and more.


"
How can Optimizer Enterprise help practices optimize their operations?,"Optimizer Enterprise provides valuable insights and KPIs based on a practice's raw operational data  allowing them to identify operational gaps and opportunities for growth. It also offers a dedicated manager to each DSO customer and is compatible with over 200 practice management systems.
"
What is the Morning Report offered by Optimizer Enterprise?,"The Morning Report is a valuable report offered by Optimizer Enterprise that provides an overview of a practice's operations for the day, offering insights into production  collections, and other important metrics."
What is Sikka.ai's Fee Survey tool?,"Sikka.ai's Fee Survey tool is a tool that leverages Sikka.ai's 15 years of experience and vast database to provide fee recommendations to practitioners who are interested in maximizing production, retaining/acquiring patients, and managing overall costs.
"
How often should a practitioner refresh their procedure fees using Fee Survey?,Sikka.ai highly recommends refreshing your procedure fees at least twice annually for optimal performance.
What industries is Fee Survey currently available for?,Fee Survey is currently available for the Dental and Veterinary industries.
How does Fee Survey work?,"In the fee schedule  practitioners can see the fees representing the 50th, 60th, 70th, 80th, 90th, and maximum percentiles for their local area. They are encouraged to review their fee schedule and identify procedures that fall below the 80th percentile. If their fees are below the 80th percentile, they should consider raising them to that level. If their fees are higher, they might want to lower the price a bit to a more competitive level."
What is Sikka.ai's PatientHomePage?,"Sikka.ai's PatientHomePage is a dashboard providing specific insights, patient communication, schedule optimization, and critical data tools necessary to build and maintain an optimized practice."
What are the subscription options for PatientHomePage?,The subscription options for PatientHomePage are PatientHomePage Monthly and PatientHomePage Annually. The latter comes with a $300 savings (a 17% savings) for buying a recurring annual subscription.
What are the benefits of using PatientHomePage?,"The benefits of using PatientHomePage include target practitioner-to-patient messaging  inactive patient messaging  surveys and contests alerts,holiday,birthday and customer greetings,promotions  rebates,specials and discount alerts,set administrative privileges for staff and consultants,manage all your practice data securely,enable patient access - with secure usernames & passwords,and increase, revitalize and renew patients using a variety of communication templates."
What is PatientHomePage Patients Now?,PatientHomePage Patients Now uses the power of data & artificial intelligence to find & fill schedule gaps while identifying the ideal candidates needing treatment.
What percentage of the world's Dental Practice Management Systems (PMS) is compatible with Sikka.ai's PatientHomePage?,Sikka.ai's PatientHomePage is compatible with +96% of the world’s Dental Practice Management Systems (PMS).
More Information on Sikka.ai's Fee Survey Tool?, https://www.Sikka.ai/Fee-Survey
What is Practice Mobilizer,"Practice Mobilizer is a mobile app that provides access to critical practice information on your phone, available for the Dental and Veterinary industries. It integrates with 96% of practice management systems and is HIPAA-compliant.
"
What features does Practice Mobilizer offer?,"Practice Mobilizer offers data analytics, data reporting, daily schedule viewing, and client communication features."
What data analytics does Practice Mobilizer offer?,Practice Mobilizer offers essential insights on the performance of your practice based on a variety of factors and compares it with national trends.
What data reporting does Practice Mobilizer offer?,Practice Mobilizer provides instant performance reports of your practice through sophisticated AI that provides real-time information as well as past reports from preceding days.
What can be viewed on the daily schedule feature of Practice Mobilizer?,"With the daily schedule feature of Practice Mobilizer, you can view patient details such as past and upcoming appointments and general patient information from the patient profile.
"
Can patients use Practice Mobilizer?,"Yes  patients can use Practice Mobilizer through the corresponding Patient Mobilizer app.
"
What is Fee Optimizer?,"Fee Optimizer is an add-on feature that uses industry trends, historical and geographical data, as well as year-over-year financials to determine appropriate fees to charge patients.
"
What industries is Fee Optimizer available for?,Fee Optimizer is currently available for Dentistry and Veterinary industries.
What does Sikka.ai offer to veterinary practices?,Sikka.ai offers tailored solutions to veterinary practices by utilizing their award-winning health API platform to help increase efficiency and optimize their practice.
How many veterinary practices are on the Sikka.ai platform?,There are 1.6K veterinary practices on the Sikka.ai platform.
How many animal patients are on the Sikka.ai platform?,There are 38M+ animal patients on the Sikka.ai platform.
What is Sikka.aiPay?,"Sikka.aiPay uses the Sikka.ai API platform to streamline the payment process, reduce costs, and help veterinary practices get paid faster.
"
What is Fee Survey?,Fee Survey is a tool provided by Sikka.ai that generates fee recommendations for a practice's most popular procedures.
What is Practice Mobilizer?,Practice Mobilizer is an app that allows veterinary practices to monitor their practice and securely access their practice data from anywhere.
What is the Marketplace on Sikka.ai?,"The Marketplace on Sikka.ai is a platform filled with optimization tools to gain full control of a practice such as Business Optimization, Payment Processing, Revenue Cycle  Reputation Management, and much more."
What is Vetcabulary?,"Vetcabulary is a tool provided by Sikka.ai that collects and analyzes deidentified data from compatible PMS systems to generate fee data and standardize procedure codes, helping veterinary practices maximize profits.
"
What is Sikka.ai's focus in the physician industry?,Sikka.ai's focus in the physician industry is to provide tailored solutions to help increase efficiency and optimize practices by utilizing their award-winning health API platform.
How many physician patients are on the Sikka.ai platform?,There are 123K physician patients on the Sikka.ai platform.
Which EHR systems are compatible with Sikka.ai's platform for physicians?,"The EHR systems that are compatible with Sikka.ai's platform for physicians are Allscripts, MedInformatix, CGM, MEDISOFT, and ECLIPSE."
What products does Sikka.ai offer for physicians?,"Sikka.ai offers two products for physicians - Practice Mobilizer and Marketplace. The Marketplace is filled with optimization tools to gain full control of the practice,such as Business Optimization,Payment Processing,Revenue Cycle,Reputation Management,and much more. Practice Mobilizer allows physicians to monitor their practice from their phone and securely access their practice data from anywhere via Sikka.ai API integration with their PMS."
What industries does Sikka.ai provide solutions for?,"Sikka.ai provides solutions for the veterinary  physician, optometry, and chiropractic industries."
What is the total number of optometry patients on the Sikka.ai platform?,There are 2M+ optometry patients on the Sikka.ai platform.
How many chiropractic practices are on the Sikka.ai platform?,There are 400+ chiropractic practices on the Sikka.ai platform.
What is the name of Sikka.ai's practice monitoring product?,The name of Sikka.ai's practice monitoring product is Practice Mobilizer.
What is included in Sikka.ai's marketplace?,"Sikka.ai's marketplace includes optimization tools for business, payment processing, revenue cycle, reputation management, and more."
What industries does Sikka.ai provide solutions for?,"Sikka.ai provides solutions for the veterinary  physician, optometry, and chiropractic industries."
What is the total number of optometry patients on the Sikka.ai platform?,There are 2M+ optometry patients on the Sikka.ai platform.
How many chiropractic practices are on the Sikka.ai platform?,There are 400+ chiropractic practices on the Sikka.ai platform.
What is the name of Sikka.ai's practice monitoring product?,The name of Sikka.ai's practice monitoring product is Practice Mobilizer.
What is included in Sikka.ai's marketplace?,"Largest Marketplace of Apps for Dental, Veterinary, Optometry, Chiropractic and Orthodontists"
What are Sikka.ai Health Indicators?,These are 10 indicators derived from over 139 million unique records that can help identify health risks among insurance applicants.
What is LECA Health Risk Score?,LECA Health Risk Score is a software platform that measures the mortality risk of an individual based on their unique dental procedure history.
How does Sikka.ai use machine learning and AI in underwriting?,"Sikka.ai uses a combination of machine learning, sophisticated AI, and data science to create 10 indicators from oral healthcare data. These indicators can help insurance companies deliver real-time decisions for underwriting.
"
What is the benefit of using Sikka.ai for underwriting?,"Sikka.ai provides accurate individual mortality estimates, consistency in underwriting practices, precision in expert judgment  improved fraud detection, reduction in the cost and time to underwrite each applicant, refined segmentation of discrete underwriting classes, and reduced complexity and friction in onboarding policyholders.

"
How has Sikka.ai's data been validated?,"Sikka.ai's opt-in, consent-based data has been validated with 9M+ life insurance customers across 18 retro studies,and major carriers,InsurTech companies,top reinsurers,and leading data providers have all tested Sikka.ai's health indicators and LECA Score."
What is the advantage of using Sikka.ai's oral care patient data?,"Sikka.ai has over 50% share of oral care patient data and is well-positioned to be the premier provider of this opt-in  consent-based data to the life insurance industry. No other source can provide the same breadth and depth of opt-in oral care data.
"
What kind of data does Sikka.ai Insights collect?,"Sikka.ai Insights collects up-to-the-minute, consent-based, de-identified data regarding patients, payment transactions, and more from dental, veterinary, and other healthcare providers."
How many unique patients are on the Sikka.ai platform across North America?,There are 139M+ unique patients on the Sikka.ai platform across North America.
How many transactions are processed daily on the Sikka.aiPay platform?,81M+ transactions are processed daily on the Sikka.aiPay platform.
"What is the aggregate value of all claims, transactions, procedures, and fees on Sikka.ai platform?","The aggregate value of all claims, transactions, procedures and fees on Sikka.ai platform is $208B+."
What kind of insights can the rich Sikka.ai Insights dataset provide?,The rich Sikka.ai Insights dataset can provide actionable predictions of the performance of specific public companies that are suppliers to healthcare sectors.
What can be measured by looking at opt-in," consent-based, de-identified patient data at the procedure code level? Looking at opt-in, consent-based, de-identified patient data at the procedure code level can measure the use of specialized equipment, raw materials, pharmaceuticals, and services.
"
What kind of AI does Sikka.ai Insights utilize?,"Sikka.ai Insights utilizes sophisticated AI that allows for clinical notes to be parsed, identifying the use of specific products.
"
How can Insight customers use the data provided by Sikka.ai Insights?,Insight customers can use the data that encompasses over 136 million oral health patients and 38 million pets to determine how many instances of a product were identified and how much revenue was created by that product.
Who should I contact to learn more about Sikka.ai and Markets?,Gerry Mintz
What is Gerry Mintz's role at Sikka.ai?,"Sikka.ai Insights Markets
"
What is Gerry Mintz's direct phone number?,(408) 906-8434
What does Sikka.ai aim to do with their solutions?,Sikka.ai aims to streamline and optimize business processes to allow for focus on managing practices and providing patients with the best care.
Who should you contact to learn more about Sikka.ai and revenue cycle management?,"To learn more about Sikka.ai and revenue cycle management, you should contact Jennifer Scarberry, Business Leader of Payments & Veterinary  at jennifer.scarberry@Sikka.ai or Direct (408) 600-0370."
What is Jennifer Scarberry's experience in Animal Health?,"Jennifer Scarberry has over 25 years of experience in the Animal Health market, including roles such as CEO & Founder, Director of Sales, National Sales Trainer and Regional Manager. She has expertise in various areas such as Pet Food, Pharma, Distribution, Diagnostics, Home Delivery, Flea/Tick, Private Label, OTC, E-Commerce, Data/SaaS and more."
Who should you reach out to for more information about Sikka.ai and life insurance underwriting?,"To learn more about Sikka.ai and life insurance underwriting, you should reach out to Lewis Goldman, leader of our Sikka.ai Insights – Insurance business, at lewis.goldman@Sikka.ai."
What is Lewis Goldman's experience in insurance and financial services?,"Lewis Goldman has over 20 years of experience in insurance and financial services  including serving as executive of LendKey Technologies  head of marketing and product for Global Life Distribution and the MetLife direct to consumer life insurance business. He brings a track record of success nurturing and scaling businesses through marketing,new products,new channels of distribution,partnerships,and cross-sell at companies where he worked including Citigroup  LinkedIn,1800flowers.com,Amazon,New York Life,and several FinTech and InsurTech startups."
What is Sikka.ai Insights?,"Sikka.ai Insights is a data collection platform that gathers real-time de-identified data from dental, veterinary, and optometry health care providers to track trends at local  state, regional or national levels."
What are the uses of Sikka.ai Insights?,"Sikka.ai Insights is used to increase customer retention, predict sales trends, find new customers, improve customer service, increase profits, manage target marketing campaigns, and provide solutions for payments."
How many opt-in dental practices and veterinary practices are reported in the U.S. and Canada by Sikka.ai Insights?,"Sikka.ai Insights has over 28,000 opt-in dental practices and 1,600 veterinary practices in the U.S. and Canada who report daily.
"
What is Sikka.ai Insights & Life Insurance?,"Sikka.ai Insights & Life Insurance is the combination of machine learning, sophisticated AI, and data science to create proprietary Sikka.ai Health Indicators and LECA (Life Expectancy at Current Age) Health Risk Score, which help insurance companies deliver real-time decisions in underwriting policies and population modeling."
What are the economic indicators provided by Sikka.ai Insights?,Sikka.ai Insights found a high correlation between certain practice data points and economic performance. The Economic Indicators show the correlation between dental performance and the economy.
What is the Industry Trends page on Sikka.ai Insights?,Sikka.ai Insights has created an interactive heat map to display the growth in production by state as practices begin to experience a rebound. The Industry Trends page allows users to experience the data themselves.
What is the significance of Sikka.ai's opt-in consent-based data?,"Sikka.ai's opt-in, consent-based data has been validated with over 9 million life insurance customers across 18 retrospective studies. Major carriers, InsurTech companies, top Reinsurers, and leading data providers have all tested Sikka.ai's health indicators and LECA Score."
Why choose Sikka.ai Insights for life insurance companies?,"With over 50% share of oral care patient data, Sikka.ai Insights is well-positioned to be the premier provider of this opt-in, consent-based data to the life insurance industry. No other source can provide the same breadth and depth of opt-in oral care data. Sikka.ai Insights provides more accurate individual mortality estimates, consistency in underwriting practices, and improved fraud detection, among other benefits."
What is Sikka.ai Insights?,"Sikka.ai Insights collects up-to-the-minute, consent-based, deidentified data from dental, veterinary, and optometry health care providers  which utilizes our single API to seamlessly connect with Practice Management Systems. Practice-level data is aggregated to track trends at local, state, regional or national levels to drive actionable yet insightful decisions.
"
What industries is Sikka.ai rethinking?,"Sikka.ai is rethinking the retail healthcare, life insurance and markets industries.
"
What does the Sikka.ai platform connect to?,The Sikka.ai API Platform connects to 96% of the retail healthcare market and all practice management systems and financial systems practices use.
How many practice installations does Sikka.ai have on its platform?,Sikka.ai Software now has 35K+ practice installations on its platform.
What is the purpose of the Industry Trends website created by Sikka.ai?,"The Industry Trends website created by Sikka.ai can be accessed to see week-over-week performance of practices and track the correlation between certain practice data points and economic performance, including predicting future inflation indicators.
"
Who is the founder and CEO of Sikka.ai?,Vijay Sikka
What is Vijay Sikka's professional background?,"He has worked in Artificial Intelligence and decision systems for more than 25 years with large scale projects at Intel Corporation  National Institutes of Health, Glaxo Smith Kline, Roche and UCSF affiliates."
What are some conferences where Vijay Sikka has spoken at as an invited keynote speaker?,"Digital Health World Conferences in 2019 and 2020, AI Global Forum 2020 and Biohacking Congress in London in 2020.
"
Who is the Chief Financial Officer of Sikka.ai Software Corporation?,Jasprit Sandhu
What is Jasprit Sandhu's professional background?,"He has over 20 years of experience building global teams, leading capital raising, driving growth and finance operations from inception through IPO  as well as leading financial and strategic exits."
Who is the General Counsel & Head of Corporate Development of Sikka.ai Software Corporation?,Kelly Slavitt
What is Kelly Slavitt's professional background?,"She has over 20 years of experience working as a strategic partner to proactively drive growth using the law, managing risk, ensuring regulatory compliance, driving M&A transactions, and scaling up or down as needed by the business."
Who is the Vice President of HR at Sikka.ai Software Corporation?,Sally Takemoto
What is Sally Takemoto's professional background?,"She has worked as VP of Human Resources for Network General Corporation and Proxim, Inc. and held management positions at Vitalink Communications Corporation and NCR.
"
Who is the Vice President of Customer Success at Sikka.ai Software Corporation?,Michael Bingham
What is Michael Bingham's professional background?,"He has more than 20 years of extensive experience in customer success leadership, having worked in the tech space with the likes of Toshiba, Canon, Dell and DTS."
What is ONE API?,ONE API is a unified API platform provided by Sikka.ai API Platform which allows developers to build secure apps for over 90% of the dental  veterinary  physician  chiropractic and optometry industries.
What are the benefits of using ONE API?,"The benefits of using ONE API include a unified data model, a single set of API endpoints, and a unified Marketplace flow to onboard practices. It supports 400+ practice management software integrations across various industries, allows control over individual data points for more efficient app performance  and provides Payment Write Back API and Patient360 API for claims and payment automation and access to consent-based patient data in one request, respectively."
What is the Sikka.ai Marketplace?,The Sikka.ai Marketplace is a platform where developers can onboard new practices and register them for the Sikka.ai Platform Utility download.
What is the Sikka.ai Platform Utility?,"The Sikka.ai Platform Utility is a software that needs to be downloaded and installed on the practice server. After installation, the data is made available via ONE API.
"
What industries does Sikka.ai API work with?,"Sikka.ai API works with approximately 90% of the markets for dental, veterinary, optometry, chiropractic, orthodontics, oral surgery, and others in the U.S., Canada, Australia, and New Zealand.
"
What is Practice Query Language API?,Practice Query Language API is an API provided by Sikka.ai API Platform that allows developers to control individual data points they want to display in their apps for more efficient performance.
What is Payment Write Back API?,"Payment Write Back API is an API provided by Sikka.ai API Platform that provides information on appointment status, payment, new appointment, new patients, notes, claim notes, status  insurance status, and lab results for claims and payment automation.
"
What is Patient360 API?,"Patient360 API is an API provided by Sikka.ai API Platform that allows developers to access consent-based patient's demographic, appointments, transactions, insurance details  treatment plans, and many other information sets of dental records from multiple practice management systems in a single API request."
What award has Sikka.ai ONE API won?,"Sikka.ai ONE API has won the 2022 Best in Health APIs Award, presented by API World.
"
What is the announcement?,Dental data is being used in underwriting for the first time on ExamOne’s HealthPiQture Platform
Who made the announcement?,Sikka.ai
What is Sikka.ai?,A provider of oral healthcare indicators (OHI) and mortality scores to life insurance companies for underwriting
What is ExamOne?,A company that offers comprehensive risk assessment solutions to the life insurance industry
What is OHIs?,Oral healthcare indicators
How many patients are on Sikka.ai's platform?,Over 130 million patients in the US and Canada
What are the available flags for OHIs?,"Flags for tobacco use, cancer, hypertension, cardiovascular disease, hyperlipidemia, liver disease, diabetes, kidney disease, blood disorders, and marijuana use
"
How are OHIs delivered?,Delivered in real time through ExamOne's HealthPiQture platform with applicant consent
What are the benefits of using OHI?,"Accelerated underwriting, post-issue review, and automated underwriting
"
What is an example of OHI being used by a carrier?,"One carrier found an applicant's cardiovascular condition which wasn't apparent from other data sources, improving their decision process
"
Who is John Reynolds?,"SVP  Commercial & Business Development at ExamOne
"
What is Sikka.ai's business?,"Optimizing the business of healthcare, payments, and life insurance
"
What are some indicators for accelerated underwriting provided by Sikka.ai?,Life Expectancy at Current Age (tm) and Periodontal Disease to Mortality (tm) scores
How many practice installations does Sikka.ai have in the US and Canada?,"Over 35 000 practice installations
"
Who made the chatbot at Sikka.ai?,Shashiraj Walsetwar
What is the purpose of the chatbot at Sikka.ai?,To answer questions related to Sikka.ai and its products
What is Shashiraj Walsetwar's role at Sikka.ai?,Full Stack developer Intern
Where did Shashiraj Walsetwar earn his Masters degree in Computer Science?,"California State University  East Bay.
"
What are Sikka.ai Health Indicators?,Sikka.ai Health Indicators are 10 indicators derived from more than 139 million unique records that can be used to identify health risks among insurance applicants related to oral healthcare data.
What is the LECA (Life Expectancy at Current Age) Health Risk Score?,The LECA (Life Expectancy at Current Age) Health Risk Score� is a scoring software platform that uses dental procedure history to classify the individuals based on their Life Expectancy at Current Age (LECA).
What is LECA (Life Expectancy at Current Age) Health Risk Score?,LECA (Life Expectancy at Current Age) Health Risk Score is a software platform for measuring mortality risk of an individual based upon their unique dental procedure history.
